Naslov;Lokacija;Obcina;Cena;VelikostM2;ZemljisteM2;StSob;LetoGradnje;EnergetskiRazred;CenaNaM2;VrstaObjekta;DatumScrapa;Url
LESCE, MIRNO NASELJE;Lesce;;438000;293.5;439.0;;;;1492.33;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/lesce-mirno-naselje-hisa_7106672/
LETENICE;Letenice;;319000;182.0;4000.0;;1975;;1752.75;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/letenice-hisa_6782858/
MAČE;Mače;;1200000;490.0;1149.0;;2006;;2448.98;Dvostanovanjska;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/mace-hisa_7154619/
MEVKUŽ;Mevkuž;;297000;373.0;;;1910;;796.25;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/mevkuz-hisa_7074183/
MLAKA PRI KRANJU;Mlaka Pri Kranju;;999000;341.0;387.0;;1980;;2929.62;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/mlaka-pri-kranju-hisa_6845480/
MOJSTRANA;Mojstrana;;419000;227.0;507.0;;1980;;1845.81;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/mojstrana-hisa_7033601/
NAKLO;Naklo;;695000;228.0;615.0;;1978;;3048.25;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/naklo-hisa_7129378/
NAKLO;Naklo;;695000;228.0;615.0;;1978;;3048.25;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/naklo-hisa_7114830/
NAKLO;Naklo;;695000;228.0;615.0;;1978;;3048.25;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/naklo-hisa_7255008/
NOMENJ;Nomenj;;655000;406.48;618.0;;1988;;1611.4;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/nomenj-hisa_6783951/
PODHOM;Podhom;;440000;110.0;972.0;;2007;;4000.0;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/podhom-hisa_7270063/
PODKOREN;Podkoren;;850000;178.3;404.0;;1902;;4767.25;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7255237/
PODKOREN;Podkoren;;480000;205.0;1689.0;;;;2341.46;Samostojna;2026-04-06 16:24:11;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7072547/
PODKOREN;Podkoren;;1290000;270.0;1851.0;;;;4777.78;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7015221/
PODKOREN;Podkoren;;599000;286.3;603.0;;1980;;2092.21;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7296503/
PODLJUBELJ;Podljubelj;;550000;349.0;1838.0;;;;1575.93;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/podljubelj-hisa_7303365/
PODNART;Podnart;;930000;449.6;2215.0;;2007;;2068.51;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/podnart-hisa_7308800/
PODREČA;Podreča;;530000;135.19;545.0;;2026;;3920.41;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/podreca-hisa_7263141/
POLJE, BOHINJ;Polje;;499500;300.0;638.0;;1974;;1665.0;Dvostanovanjska;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/polje-bohinj-hisa_6604871/
POTOČE;Potoče;;390000;200.0;600.0;;1996;;1950.0;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/potoce-hisa_6857709/
PRAŠE;Praše;;350000;275.2;1149.0;;;;1271.8;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/prase-hisa_7055415/
PREDDVOR, OKOLICA KRANJA;Preddvor;;1425000;144.0;509.0;;1985;;9895.83;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/preddvor-okolica-kranja-hisa_6811323/
RADOVLJICA;Radovljica;;499000;169.4;88.0;;1976;;2945.69;Dvostanovanjska;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_7303686/
RADOVLJICA;Radovljica;;420000;170.3;297.0;;1990;;2466.24;Dvojček;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_7074451/
RADOVLJICA;Radovljica;;389000;195.7;6021.0;;1970;;1987.74;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_7306029/
RADOVLJICA;Radovljica;;240000;246.0;120.0;;;;975.61;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6240271/
RADOVLJICA;Radovljica;;1800000;427.0;854.0;;1900;;4215.46;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6062360/
RADOVLJICA, LANCOVO;Radovljica;;485000;126.7;570.0;;2024;;3827.94;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-lancovo-hisa_6777544/
RADOVLJICA, OB POTOKU, NA ROBU NASELJA;Radovljica;;319000;170.0;935.0;;1951;;1876.47;Dvostanovanjska;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-ob-potoku-na-robu-naselja-hisa_7308177/
RADOVLJICA, OKOLICA;Radovljica;;690000;331.8;;;1978;;2079.57;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/radovljica-okolica-hisa_7308313/
RETEČE;Reteče;;614000;291.18;1000.0;;2000;;2108.66;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/retece-hisa_7303570/
RETEČE;Reteče;;1040000;518.2;9555.0;;;;2006.95;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/retece-hisa_7271585/
RETEČE;Reteče;;1040000;518.2;9555.0;;;;2006.95;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/retece-hisa_7271586/
RIBNO;Ribno;;950000;168.4;711.0;;2019;;5641.33;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7106723/
RIBNO;Ribno;;950000;168.4;711.0;;2022;;5641.33;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7261783/
RIBNO;Ribno;;659000;228.0;480.0;;2015;;2890.35;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7119509/
RIBNO;Ribno;;1100000;519.2;1123.0;;1984;;2118.64;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7126177/
SELCA;Selca;;220000;245.0;;;1990;;897.96;Samostojna;2026-04-06 16:24:16;https://www.nepremicnine.net/oglasi-prodaja/selca-hisa_7255190/
SELCA;Selca;;1270000;2545.0;14550.0;;1980;;499.02;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/selca-hisa_7117454/
SLOVENSKI JAVORNIK;Slovenski Javornik;;185000;176.0;;;;;1051.14;Dvojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/slovenski-javornik-hisa_7302837/
SPODNJA LIPNICA;Spodnja Lipnica;;1249000;361.5;3070.0;;2022;;3455.05;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/spodnja-lipnica-hisa_7277205/
SPODNJE DUPLJE;Spodnje Duplje;;998000;1500.0;3918.0;;1950;;665.33;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/spodnje-duplje-hisa_7272215/
SPODNJE DUPLJE;Spodnje Duplje;;1250000;1500.0;6403.0;;1950;;833.33;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/spodnje-duplje-hisa_7005685/
SPODNJE GORJE;Spodnje Gorje;;385000;158.58;5915.0;;2024;;2427.8;Dvostanovanjska;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/spodnje-gorje-hisa_6751881/
SREDNJA VAS PRI ŠENČURJU;Srednja Vas Pri Šenčurju;;600000;324.0;800.0;;1986;;1851.85;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-pri-sencurju-hisa_6973015/
SREDNJA VAS PRI ŠENČURJU, BLIŽINA NARAVE;Srednja Vas Pri Šenčurju;;449000;169.0;205.0;;2003;;2656.8;Vrstna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-pri-sencurju-blizina-narave-hisa_7293651/
SREDNJA VAS V BOHINJU;Srednja Vas V Bohinju;;575000;64.1;6179.0;;1948;;8970.36;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-v-bohinju-hisa_6964857/
SREDNJA VAS V BOHINJU;Srednja Vas V Bohinju;;1350000;804.5;913.0;;1985;;1678.06;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-v-bohinju-hisa_7296496/
STARA FUŽINA;Stara Fužina;;545000;133.0;485.0;;1900;;4097.74;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/stara-fuzina-hisa_7066429/
SUHA, ŠKOFJA LOKA;Suha;;795000;213.4;450.0;;2023;;3725.4;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/suha-skofja-loka-hisa_7293682/
SV. ANDREJ;Sv. Andrej;;230000;228.0;3500.0;;1990;;1008.77;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sv-andrej-hisa_7074941/
ŠENČUR;Šenčur;;479000;112.0;292.0;;2025;;4276.79;Dvostanovanjska;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_6903616/
ŠENČUR;Šenčur;;750000;150.0;603.0;;2020;;5000.0;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7295760/
ŠENČUR;Šenčur;;449000;169.0;205.0;;2003;;2656.8;Trojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7308221/
ŠENČUR;Šenčur;;449000;169.0;205.0;;2003;;2656.8;Vrstna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7308222/
ŠENČUR;Šenčur;;605000;173.6;215.0;;2025;;3485.02;Dvostanovanjska;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_6993028/
ŠENČUR;Šenčur;;610000;184.0;224.0;;2026;;3315.22;Dvojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7278188/
ŠENČUR;Šenčur;;579000;184.0;123.0;;2026;;3146.74;Dvojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289886/
ŠENČUR;Šenčur;;595000;184.0;151.0;;2026;;3233.7;Dvojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289880/
ŠENČUR;Šenčur;;595000;184.0;151.0;;2026;;3233.7;Dvojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289885/
ŠENČUR;Šenčur;;629000;200.0;365.0;;2026;;3145.0;Dvojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7289877/
ŠENČUR;Šenčur;;582000;325.0;500.0;;2000;;1790.77;Samostojna;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-hisa_7168634/
ŠENČUR, BLIŽINA ŠOLE, VRTCA;Šenčur;;449000;160.8;205.0;;2003;;2792.29;Trojček;2026-04-06 16:24:22;https://www.nepremicnine.net/oglasi-prodaja/sencur-blizina-sole-vrtca-hisa_7308306/
ŠENČUR, JUŽNI NIZ;Šenčur;;615000;175.2;300.0;;2025;;3510.27;Vrstna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/sencur-juzni-niz-hisa_7062248/
ŠENČUR, JUŽNI NIZ, III. PGF;Šenčur;;480000;175.2;300.0;;2025;;2739.73;Vrstna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/sencur-juzni-niz-iii-pgf-hisa_7067094/
ŠENČUR, SAJOVČEVO NASELJE;Šenčur;;449000;160.8;205.0;;2003;;2792.29;Trojček;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/sencur-sajovcevo-naselje-hisa_7184670/
ŠENČUR, SAJOVČEVO NASELJE;Šenčur;;449000;160.8;205.0;;2003;;2792.29;Trojček;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/sencur-sajovcevo-naselje-hisa_7183946/
ŠENČUR, SAJOVČEVO NASELJE;Šenčur;;449000;169.0;205.0;;2012;;2656.8;Trojček;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/sencur-sajovcevo-naselje-hisa_7218526/
ŠKOFJA LOKA;Škofja Loka;;580000;147.0;230.0;;2020;;3945.58;Dvojček;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7303377/
ŠKOFJA LOKA;Škofja Loka;;435000;151.0;275.0;;1968;;2880.79;Vrstna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7307532/
ŠKOFJA LOKA;Škofja Loka;;435000;151.0;275.0;;1968;;2880.79;Vrstna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7006879/
ŠKOFJA LOKA;Škofja Loka;;1590000;348.5;;;2020;;4562.41;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7293798/
ŠKOFJA LOKA;Škofja Loka;;1590000;360.6;661.0;;2020;;4409.32;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_6956614/
ŠKOFJA LOKA;Škofja Loka;;880000;390.0;1507.0;;2003;;2256.41;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7260648/
ŠKOFJA LOKA;Škofja Loka;;880000;390.6;1507.0;;2003;;2252.94;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7075166/
TRŽIČ;Tržič;;155000;109.0;308.0;;;;1422.02;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/trzic-hisa_7307904/
TRŽIČ;Tržič;;280000;190.4;482.0;;1987;;1470.59;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/trzic-hisa_7307905/
TRŽIČ;Tržič;;999000;1106.0;18768.0;;1999;;903.25;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/trzic-hisa_7298390/
UKANC;Ukanc;;649000;88.9;247.0;;1972;;7300.34;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/ukanc-hisa_7264781/
VIRLOG;Virlog;;558000;1188.0;1001.0;;2000;;469.7;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/virlog-hisa_7299029/
VOGLJE;Voglje;;225000;105.1;400.0;;1958;;2140.82;Dvostanovanjska;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/voglje-hisa_7293465/
ZALOŠE;Zaloše;;310000;147.0;679.0;;2024;;2108.84;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/zalose-hisa_7309241/
ZAPUŽE;Zapuže;;395000;393.1;605.0;;1977;;1004.83;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/zapuze-hisa_7255214/
ZASIP;Zasip;;279000;283.9;594.0;;1991;;982.74;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/zasip-hisa_7116550/
ZGORNJA BESNICA;Zgornja Besnica;;776000;262.8;1545.0;;2001;;2952.82;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/zgornja-besnica-hisa_7293636/
ZGORNJA BESNICA;Zgornja Besnica;;760000;284.8;984.0;;2018;;2668.54;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/zgornja-besnica-hisa_7117894/
ZGORNJA LIPNICA;Zgornja Lipnica;;445000;581.0;7203.0;;;;765.92;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/zgornja-lipnica-hisa_7085120/
ZGORNJA LIPNICA;Zgornja Lipnica;;585000;700.0;23150.0;;1978;;835.71;Samostojna;2026-04-06 16:24:27;https://www.nepremicnine.net/oglasi-prodaja/zgornja-lipnica-hisa_7042058/
ZGORNJA SORICA;Zgornja Sorica;;138900;169.9;1232.0;;;;817.54;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornja-sorica-hisa_7212773/
ZGORNJE BITNJE;Zgornje Bitnje;;359000;180.0;300.0;;2000;;1994.44;Dvostanovanjska;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornje-bitnje-hisa_7306500/
ZGORNJE BITNJE;Zgornje Bitnje;;359000;180.0;300.0;;2000;;1994.44;Dvostanovanjska;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornje-bitnje-hisa_7302982/
ZGORNJE GORJE;Zgornje Gorje;;490000;146.9;582.0;;2025;;3335.6;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornje-gorje-hisa_7306080/
ZGORNJE GORJE;Zgornje Gorje;;690000;173.5;582.0;;2025;;3976.95;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornje-gorje-hisa_7306077/
ZGORNJE GORJE;Zgornje Gorje;;1090000;348.3;582.0;;2025;;3129.49;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornje-gorje-hisa_7306017/
ZGORNJE JEZERSKO;Zgornje Jezersko;;400000;135.1;1256.0;;1950;;2960.77;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornje-jezersko-hisa_7042599/
ZGORNJI BRNIK;Zgornji Brnik;;850000;224.6;1169.0;;2005;;3784.51;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgornji-brnik-hisa_7293811/
ZGOŠA;Zgoša;;550000;120.0;399.0;;2026;;4583.33;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zgosa-hisa_7307671/
ŽABNICA;Žabnica;;850000;277.1;584.0;;1975;;3067.48;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zabnica-hisa_6735630/
ŽELEZNIKI;Železniki;;119500;88.7;;;;;1347.24;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-hisa_7069258/
ŽELEZNIKI;Železniki;;144000;91.0;;;1990;;1582.42;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-hisa_7074801/
ŽELEZNIKI;Železniki;;519000;301.5;1454.0;;2015;;1721.39;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-hisa_7279823/
ŽELEZNIKI, TRNJE;Železniki;;135000;90.0;120.0;;;;1500.0;Dvojček;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-trnje-hisa_6753636/
ŽIROVNICA;Žirovnica;;253000;100.0;;;2013;;2530.0;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7310589/
ŽIROVNICA;Žirovnica;;425000;131.0;1359.0;;1973;;3244.27;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7128199/
ŽIROVNICA;Žirovnica;;314000;135.0;250.0;;2025;;2325.93;Dvojček;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_6990571/
ŽIROVNICA;Žirovnica;;680000;190.3;977.0;;1960;;3573.31;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7117868/
ŽIROVNICA;Žirovnica;;350000;216.3;317.0;;2005;;1618.12;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7109650/
ŽIROVNICA, MOSTE;Žirovnica;;359000;163.4;692.0;;;;2197.06;Samostojna;2026-04-06 16:24:32;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-moste-hisa_7304272/
ŽIROVNICA, NA VOLJO SAMO ŠE ENA ENOTA;Žirovnica;;314000;149.0;250.0;;2025;;2107.38;Dvojček;2026-04-06 16:24:33;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-na-voljo-samo-se-ena-enota-hisa_7042232/
