Naslov;Lokacija;Obcina;Cena;VelikostM2;ZemljisteM2;StSob;LetoGradnje;EnergetskiRazred;CenaNaM2;VrstaObjekta;DatumScrapa;Url
BLED;Bled;;2200000;815.0;11994.0;;1985;;2699.39;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_6867041/
BLED, CENTER;Bled;;498000;118.0;918.0;;;;4220.34;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bled-center-hisa_7130493/
BLED, S POGLEDOM NA BLEJSKI GRAD;Bled;;1700000;363.7;1627.0;;;;4674.18;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bled-s-pogledom-na-blejski-grad-hisa_7032541/
BLED, V BLIŽINI BLEJSKEGA JEZERA;Bled;;790000;153.0;;;2012;;5163.4;Vrstna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bled-v-blizini-blejskega-jezera-hisa_7049874/
BLED, V BLIŽINI BLEJSKEGA JEZERA;Bled;;872000;153.0;;;2012;;5699.35;Vrstna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bled-v-blizini-blejskega-jezera-hisa_7059178/
BLEJSKA DOBRAVA;Blejska Dobrava;;229000;164.2;;;2023;;1394.64;Dvostanovanjska;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/blejska-dobrava-hisa_6571747/
BODEŠČE;Bodešče;;390000;308.7;628.0;;;;1263.36;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bodesce-hisa_7272221/
BOHINJSKA BELA;Bohinjska Bela;;360000;124.0;200.0;;1972;;2903.23;Dvojček;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bela-hisa_7013196/
BOHINJSKA BELA;Bohinjska Bela;;699000;143.0;680.0;;2024;;4888.11;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bela-hisa_7119297/
BOHINJSKA BELA;Bohinjska Bela;;495000;360.5;931.0;;1970;;1373.09;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bela-hisa_7077998/
BOHINJSKA BISTRICA;Bohinjska Bistrica;;549000;115.9;483.0;;2024;;4736.84;Dvojček;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_7300947/
BOHINJSKA BISTRICA;Bohinjska Bistrica;;549000;115.9;200.0;;2024;;4736.84;Dvojček;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_7296522/
BOHINJSKA BISTRICA;Bohinjska Bistrica;;549000;115.9;483.0;;2024;;4736.84;Dvostanovanjska;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_7278771/
BOHINJSKA BISTRICA, HIŠA KAGER;Bohinjska Bistrica;;585000;213.0;524.0;;2005;;2746.48;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa-kager-hisa_7259422/
BREG OB SAVI, NOVA DRULOVKA;Breg Ob Savi;;395000;323.0;200.0;;1993;;1222.91;Dvojček;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/breg-ob-savi-nova-drulovka-hisa_7244142/
BREZJE;Brezje;;554000;438.0;1130.0;;1909;;1264.84;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/brezje-hisa_7023165/
BREZNICA;Breznica;;195000;48.3;84.0;;1971;;4037.27;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/breznica-hisa_7131918/
BREZNICA;Breznica;;660000;277.0;507.0;;1982;;2382.67;Samostojna;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/breznica-hisa_7106736/
BRITOF;Britof;;648000;139.4;376.0;;2007;;4648.49;Dvojček;2026-04-06 16:23:50;https://www.nepremicnine.net/oglasi-prodaja/britof-hisa_7275782/
BRITOF;Britof;;490000;325.0;850.0;;1972;;1507.69;Dvostanovanjska;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/britof-hisa_6865223/
BRITOF;Britof;;490000;325.0;850.0;;1972;;1507.69;Dvostanovanjska;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/britof-hisa_7077899/
BRITOF, BRIOF - VOGE;Britof;;648180;140.0;376.0;;2007;;4629.86;Dvojček;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/britof-briof-voge-hisa_7130180/
