VrstaObjekta;VelikostM2;LetoGradnje;EnergetskiRazred;Lokacija;ZemljisteM2;StSob;Url
Samostojna;438.0;1909;;Brezje;1130.0;;https://www.nepremicnine.net/oglasi-prodaja/brezje-hisa_7023165/
Samostojna;48.3;1971;;Breznica;84.0;;https://www.nepremicnine.net/oglasi-prodaja/breznica-hisa_7131918/
Samostojna;277.0;1982;;Breznica;507.0;;https://www.nepremicnine.net/oglasi-prodaja/breznica-hisa_7106736/
Dvojček;139.4;2007;;Britof;376.0;;https://www.nepremicnine.net/oglasi-prodaja/britof-hisa_7275782/
Dvostanovanjska;325.0;1972;;Britof;850.0;;https://www.nepremicnine.net/oglasi-prodaja/britof-hisa_6865223/
Dvostanovanjska;325.0;1972;;Britof;850.0;;https://www.nepremicnine.net/oglasi-prodaja/britof-hisa_7077899/
Dvojček;140.0;2007;;Britof;376.0;;https://www.nepremicnine.net/oglasi-prodaja/britof-briof-voge-hisa_7130180/
Dvojček;200.0;2008;;Britof;376.0;;https://www.nepremicnine.net/oglasi-prodaja/britof-voge-hisa_7133291/
Dvostanovanjska;179.3;;;Cerklje Na Gorenjskem;887.0;;https://www.nepremicnine.net/oglasi-prodaja/cerklje-na-gorenjskem-smartno-hisa_6968136/
Samostojna;110.0;1990;;Četena Ravan;1250.0;;https://www.nepremicnine.net/oglasi-prodaja/cetena-ravan-stari-vrh-hisa_6940585/
Samostojna;495.9;2006;;Črnivec;1467.0;;https://www.nepremicnine.net/oglasi-prodaja/crnivec-hisa_7278628/
Dvostanovanjska;633.9;1980;;Črnivec;2500.0;;https://www.nepremicnine.net/oglasi-prodaja/crnivec-hisa_6506091/
Samostojna;194.4;;;Dovje;79.0;;https://www.nepremicnine.net/oglasi-prodaja/dovje-hisa_7092410/
Samostojna;120.0;;;Gorenja Dobrava;5812.0;;https://www.nepremicnine.net/oglasi-prodaja/gorenja-dobrava-hisa_7310159/
Samostojna;331.8;1973;;Gorica;10122.0;;https://www.nepremicnine.net/oglasi-prodaja/gorica-hisa_7255316/
