VrstaObjekta;VelikostM2;LetoGradnje;EnergetskiRazred;Lokacija;ZemljisteM2;StSob;Url
Vrstna;175.2;2025;;Šenčur;300.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-juzni-niz-hisa_7062248/
Vrstna;175.2;2025;;Šenčur;300.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-juzni-niz-iii-pgf-hisa_7067094/
Trojček;160.8;2003;;Šenčur;205.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-sajovcevo-naselje-hisa_7184670/
Trojček;160.8;2003;;Šenčur;205.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-sajovcevo-naselje-hisa_7183946/
Trojček;169.0;2012;;Šenčur;205.0;;https://www.nepremicnine.net/oglasi-prodaja/sencur-sajovcevo-naselje-hisa_7218526/
Dvojček;147.0;2020;;Škofja Loka;230.0;;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7303377/
Vrstna;151.0;1968;;Škofja Loka;275.0;;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7307532/
Vrstna;151.0;1968;;Škofja Loka;275.0;;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7006879/
Samostojna;348.5;2020;;Škofja Loka;;;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7293798/
Samostojna;360.6;2020;;Škofja Loka;661.0;;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_6956614/
Samostojna;390.0;2003;;Škofja Loka;1507.0;;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7260648/
Samostojna;390.6;2003;;Škofja Loka;1507.0;;https://www.nepremicnine.net/oglasi-prodaja/skofja-loka-hisa_7075166/
Samostojna;109.0;;;Tržič;308.0;;https://www.nepremicnine.net/oglasi-prodaja/trzic-hisa_7307904/
Samostojna;190.4;1987;;Tržič;482.0;;https://www.nepremicnine.net/oglasi-prodaja/trzic-hisa_7307905/
Samostojna;1106.0;1999;;Tržič;18768.0;;https://www.nepremicnine.net/oglasi-prodaja/trzic-hisa_7298390/
Samostojna;88.9;1972;;Ukanc;247.0;;https://www.nepremicnine.net/oglasi-prodaja/ukanc-hisa_7264781/
Samostojna;1188.0;2000;;Virlog;1001.0;;https://www.nepremicnine.net/oglasi-prodaja/virlog-hisa_7299029/
Dvostanovanjska;105.1;1958;;Voglje;400.0;;https://www.nepremicnine.net/oglasi-prodaja/voglje-hisa_7293465/
Samostojna;147.0;2024;;Zaloše;679.0;;https://www.nepremicnine.net/oglasi-prodaja/zalose-hisa_7309241/
Samostojna;393.1;1977;;Zapuže;605.0;;https://www.nepremicnine.net/oglasi-prodaja/zapuze-hisa_7255214/
Samostojna;283.9;1991;;Zasip;594.0;;https://www.nepremicnine.net/oglasi-prodaja/zasip-hisa_7116550/
Samostojna;262.8;2001;;Zgornja Besnica;1545.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornja-besnica-hisa_7293636/
Samostojna;284.8;2018;;Zgornja Besnica;984.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornja-besnica-hisa_7117894/
Samostojna;581.0;;;Zgornja Lipnica;7203.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornja-lipnica-hisa_7085120/
Samostojna;700.0;1978;;Zgornja Lipnica;23150.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornja-lipnica-hisa_7042058/
Samostojna;169.9;;;Zgornja Sorica;1232.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornja-sorica-hisa_7212773/
Dvostanovanjska;180.0;2000;;Zgornje Bitnje;300.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornje-bitnje-hisa_7306500/
Dvostanovanjska;180.0;2000;;Zgornje Bitnje;300.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornje-bitnje-hisa_7302982/
Samostojna;146.9;2025;;Zgornje Gorje;582.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornje-gorje-hisa_7306080/
Samostojna;173.5;2025;;Zgornje Gorje;582.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornje-gorje-hisa_7306077/
Samostojna;348.3;2025;;Zgornje Gorje;582.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornje-gorje-hisa_7306017/
Samostojna;135.1;1950;;Zgornje Jezersko;1256.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornje-jezersko-hisa_7042599/
Samostojna;224.6;2005;;Zgornji Brnik;1169.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornji-brnik-hisa_7293811/
Samostojna;120.0;2026;;Zgoša;399.0;;https://www.nepremicnine.net/oglasi-prodaja/zgosa-hisa_7307671/
Samostojna;277.1;1975;;Žabnica;584.0;;https://www.nepremicnine.net/oglasi-prodaja/zabnica-hisa_6735630/
Samostojna;88.7;;;Železniki;;;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-hisa_7069258/
Samostojna;91.0;1990;;Železniki;;;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-hisa_7074801/
Samostojna;301.5;2015;;Železniki;1454.0;;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-hisa_7279823/
Dvojček;90.0;;;Železniki;120.0;;https://www.nepremicnine.net/oglasi-prodaja/zelezniki-trnje-hisa_6753636/
Samostojna;100.0;2013;;Žirovnica;;;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7310589/
Samostojna;131.0;1973;;Žirovnica;1359.0;;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7128199/
Dvojček;135.0;2025;;Žirovnica;250.0;;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_6990571/
Samostojna;190.3;1960;;Žirovnica;977.0;;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7117868/
Samostojna;216.3;2005;;Žirovnica;317.0;;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-hisa_7109650/
Samostojna;163.4;;;Žirovnica;692.0;;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-moste-hisa_7304272/
Dvojček;149.0;2025;;Žirovnica;250.0;;https://www.nepremicnine.net/oglasi-prodaja/zirovnica-na-voljo-samo-se-ena-enota-hisa_7042232/
